+--------------------------------------------------+
| Index | Dimensions | Category | Timestamp        |
+--------------------------------------------------+
| 0     | 100        | 0        | 0.023812868      |
| 1     | 100        | 0        | 0.017894758      |
| 2     | 100        | 1        | 0.06316328       |
| 3     | 100        | 6        | 0.01604911       |
| 4     | 100        | 2        | 0.079402976      |
| 5     | 100        | 0        | 0.06885068       |
| 6     | 100        | 1        | 0.091048606      |
| 7     | 100        | 34       | 0.092503056      |
| 8     | 100        | 1        | 0.06832909       |
| 9     | 100        | 1        | 0.014965795      |
| 10    | 100        | 1        | 0.04914037       |
| 11    | 100        | 1        | 0.06517945       |
| 12    | 100        | 1        | 0.007884125      |
| 13    | 100        | 3        | 0.041597288      |
| 14    | 100        | 1        | 0.078440025      |
| 15    | 100        | 1        | 0.05695428       |
| 16    | 100        | 0        | 0.08464903       |
| 17    | 100        | 7        | 0.032058097      |
| 18    | 100        | 0        | 0.009569282      |
| 19    | 100        | 1        | 0.049200553      |
| 20    | 100        | 11       | 0.015567637      |
| 21    | 100        | 6        | 0.03775553       |
| 22    | 100        | 11       | 0.017684113      |
| 23    | 100        | 4        | 0.036481634      |
| 24    | 100        | 1        | 0.08889201       |
| 25    | 100        | 1        | 0.08546151       |
| 26    | 100        | 0        | 0.06026441       |
| 27    | 100        | 0        | 0.021716453      |
| 28    | 100        | 0        | 0.09687644       |
| 29    | 100        | 0        | 0.038758602      |
| 30    | 100        | 0        | 0.059672598      |
| 31    | 100        | 2        | 0.0010431921     |
| 32    | 100        | 1        | 0.055279154      |
| 33    | 100        | 27       | 0.068750374      |
| 34    | 100        | 1        | 0.023020443      |
| 35    | 100        | 1        | 0.09831083       |
| 36    | 100        | 13       | 0.037765563      |
| 37    | 100        | 20       | 0.03993219       |
| 38    | 100        | 6        | 0.01821574       |
| 39    | 100        | 1        | 0.051557768      |
| 40    | 100        | 1        | 0.07334443       |
| 41    | 100        | 20       | 0.04454631       |
| 42    | 100        | 0        | 0.07686521       |
| 43    | 100        | 0        | 0.01762393       |
| 44    | 100        | 5        | 0.09291432       |
| 45    | 100        | 6        | 0.02702269       |
| 46    | 100        | 1        | 0.0774169        |
| 47    | 100        | 0        | 0.0747387        |
| 48    | 100        | 6        | 0.067556724      |
| 49    | 100        | 24       | 0.09775914       |
| 50    | 100        | 1        | 0.033873655      |
| 51    | 100        | 1        | 0.034946937      |
| 52    | 100        | 1        | 0.022087589      |
| 53    | 100        | 0        | 0.035227798      |
| 54    | 100        | 3        | 0.07410677       |
| 55    | 100        | 0        | 0.048959818      |
| 56    | 100        | 1        | 0.022789737      |
| 57    | 100        | 1        | 0.013571529      |
| 58    | 100        | 1        | 0.07891147       |
| 59    | 100        | 0        | 0.05058479       |
| 60    | 100        | 1        | 0.040112745      |
| 61    | 100        | 1        | 0.03572933       |
| 62    | 100        | 0        | 0.014444199      |
| 63    | 100        | 1        | 0.041266274      |
| 64    | 100        | 1        | 0.025217164      |
| 65    | 100        | 1        | 0.03759504       |
| 66    | 100        | 5        | 0.01921881       |
| 67    | 100        | 8        | 0.029961683      |
| 68    | 100        | 1        | 0.09211186       |
| 69    | 100        | 23       | 0.002126507      |
| 70    | 100        | 2        | 0.05605152       |
| 71    | 100        | 6        | 0.012969688      |
| 72    | 100        | 2        | 0.04929083       |
| 73    | 100        | 1        | 0.014394046      |
| 74    | 100        | 0        | 0.090567134      |
| 75    | 100        | 0        | 0.009669589      |
| 76    | 100        | 1        | 0.09916344       |
| 77    | 100        | 1        | 0.08780869       |
| 78    | 100        | 1        | 0.02718318       |
| 79    | 100        | 1        | 0.015818404      |
| 80    | 100        | 11       | 0.063052945      |
| 81    | 100        | 0        | 0.008205107      |
| 82    | 100        | 1        | 0.019599976      |
| 83    | 100        | 1        | 0.011144101      |
| 84    | 100        | 6        | 0.03208819       |
| 85    | 100        | 6        | 0.08557185       |
| 86    | 100        | 0        | 0.0031596685     |
| 87    | 100        | 8        | 0.07673481       |
| 88    | 100        | 1        | 0.06580135       |
| 89    | 100        | 1        | 0.07374566       |
| 90    | 100        | 20       | 0.050825525      |
| 91    | 100        | 0        | 0.09444901       |
| 92    | 100        | 4        | 0.06012398       |
| 93    | 100        | 1        | 0.078881375      |
| 94    | 100        | 1        | 0.019198747      |
| 95    | 100        | 1        | 0.09517122       |
| 96    | 100        | 3        | 0.04898991       |
| 97    | 100        | 6        | 0.087086484      |
| 98    | 100        | 0        | 0.038407527      |
| 99    | 100        | 73       | 0.030754108      |
| 100   | 100        | 1        | 0.08550163       |
| 101   | 100        | 1        | 0.09853151       |
| 102   | 100        | 1        | 0.06707525       |
| 103   | 100        | 11       | 0.019108472      |
| 104   | 100        | 1        | 0.026812045      |
| 105   | 100        | 5        | 0.02108452       |
| 106   | 100        | 1        | 0.07251189       |
| 107   | 100        | 1        | 0.09353622       |
| 108   | 100        | 1        | 0.07185989       |
| 109   | 100        | 1        | 0.036491666      |
| 110   | 100        | 0        | 0.051738318      |
| 111   | 100        | 0        | 0.062521316      |
| 112   | 100        | 6        | 0.006981363      |
| 113   | 100        | 3        | 0.030041927      |
| 114   | 100        | 1        | 0.07366542       |
| 115   | 100        | 1        | 0.07836981       |
| 116   | 100        | 1        | 0.02111461       |
| 117   | 100        | 0        | 0.014434168      |
| 118   | 100        | 0        | 0.0069011175     |
| 119   | 100        | 11       | 0.030974783      |
| 120   | 100        | 34       | 0.06555059       |
| 121   | 100        | 1        | 0.054005258      |
| 122   | 100        | 1        | 0.09630469       |
| 123   | 100        | 1        | 0.08625393       |
| 124   | 100        | 1        | 0.02459526       |
| 125   | 100        | 1        | 0.018346138      |
| 126   | 100        | 1        | 0.07105744       |
| 127   | 100        | 1        | 0.024444802      |
| 128   | 100        | 0        | 0.07752723       |
| 129   | 100        | 0        | 0.030011836      |
| 130   | 100        | 1        | 0.07402652       |
| 131   | 100        | 0        | 0.09462956       |
| 132   | 100        | 0        | 0.052099425      |
| 133   | 100        | 29       | 0.030864445      |
| 134   | 100        | 1        | 0.021144703      |
| 135   | 100        | 1        | 0.050364114      |
| 136   | 100        | 1        | 0.009519128      |
| 137   | 100        | 1        | 0.060063794      |
| 138   | 100        | 1        | 0.02471563       |
| 139   | 100        | 1        | 0.047615703      |
| 140   | 100        | 27       | 0.033863623      |
| 141   | 100        | 6        | 0.087206855      |
| 142   | 100        | 1        | 0.06458764       |
| 143   | 100        | 1        | 0.023842959      |
| 144   | 100        | 2        | 0.01155536       |
| 145   | 100        | 11       | 0.036662187      |
| 146   | 100        | 0        | 0.02688226       |
| 147   | 100        | 1        | 0.03501715       |
| 148   | 100        | 0        | 0.055309247      |
| 149   | 100        | 0        | 0.0453588        |
| 150   | 100        | 1        | 0.08530102       |
| 151   | 100        | 1        | 0.07935282       |
| 152   | 100        | 6        | 0.069974124      |
| 153   | 100        | 8        | 0.007994463      |
| 154   | 100        | 1        | 0.04263045       |
| 155   | 100        | 0        | 0.04187815       |
| 156   | 100        | 1        | 0.09564266       |
| 157   | 100        | 6        | 0.02993159       |
| 158   | 100        | 0        | 0.07570165       |
| 159   | 100        | 0        | 0.055138726      |
